Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-16-50,Bisecting K-Means (largest split),0.078997,81344118.4,1,0.693147181,1,1
g2-16-50,Bisecting K-Means (worst split),0.08702,81344118.4,1,0.693147181,1,1
g2-16-60,K-Means,0.100384,116506201.8,1,0.693147181,1,1
g2-16-60,Bisecting K-Means (largest split),0.084003,116506201.8,1,0.693147181,1,1
g2-16-60,Bisecting K-Means (worst split),0.085998,116506201.8,1,0.693147181,1,1
g2-16-70,K-Means,0.114996,160321712.7,0.998046875,0.6892732,0.994412738,0.999022963
g2-16-70,Bisecting K-Means (largest split),0.149976,160321712.7,0.998046875,0.6892732,0.994412738,0.999022963
g2-16-70,Bisecting K-Means (worst split),0.092998,160321712.7,0.998046875,0.6892732,0.994412738,0.999022963
g2-16-80,K-Means,0.147004,209184900.7,0.998046875,0.689264621,0.994412675,0.999022979
g2-16-80,Bisecting K-Means (largest split),0.106002,209184900.7,0.998046875,0.689264621,0.994412675,0.999022979
g2-16-80,Bisecting K-Means (worst split),0.112004,209184900.7,0.998046875,0.689264621,0.994412675,0.999022979
g2-16-90,K-Means,0.10302,263749923.4,1,0.69313526,1,1
g2-16-90,Bisecting K-Means (largest split),0.096853,263749923.4,1,0.69313526,1,1
g2-16-90,Bisecting K-Means (worst split),0.109002,263749923.4,1,0.69313526,1,1
g2-16-100,K-Means,0.144994,326748761.7,1,0.693139551,1,1
g2-16-100,Bisecting K-Means (largest split),0.102005,326748761.7,1,0.693139551,1,1
g2-16-100,Bisecting K-Means (worst split),0.104005,326748761.7,1,0.693139551,1,1
g2-32-10,K-Means,0.101956,6547030.964,1,0.693147181,1,1
g2-32-10,Bisecting K-Means (largest split),0.111001,6547030.964,1,0.693147181,1,1
g2-32-10,Bisecting K-Means (worst split),0.115016,6547030.964,1,0.693147181,1,1
g2-32-20,K-Means,0.106995,26200482.32,1,0.693147181,1,1
g2-32-20,Bisecting K-Means (largest split),0.115003,26200482.32,1,0.693147181,1,1
g2-32-20,Bisecting K-Means (worst split),0.131505,26200482.32,1,0.693147181,1,1
g2-32-30,K-Means,0.110019,58509007.84,1,0.693147181,1,1
g2-32-30,Bisecting K-Means (largest split),0.108996,58509007.84,1,0.693147181,1,1
g2-32-30,Bisecting K-Means (worst split),0.106973,58509007.84,1,0.693147181,1,1
g2-32-40,K-Means,0.108997,104285639.4,1,0.693147181,1,1
g2-32-40,Bisecting K-Means (largest split),0.116014,104285639.4,1,0.693147181,1,1
g2-32-40,Bisecting K-Means (worst split),0.112017,104285639.4,1,0.693147181,1,1
g2-32-50,K-Means,0.103997,164217281.1,1,0.693147181,1,1
g2-32-50,Bisecting K-Means (largest split),0.109997,164217281.1,1,0.693147181,1,1
g2-32-50,Bisecting K-Means (worst split),0.112978,164217281.1,1,0.693147181,1,1
g2-32-60,K-Means,0.112997,235823718.7,1,0.693147181,1,1
g2-32-60,Bisecting K-Means (largest split),0.106985,235823718.7,1,0.693147181,1,1
g2-32-60,Bisecting K-Means (worst split),0.116999,235823718.7,1,0.693147181,1,1
g2-32-70,K-Means,0.115001,320561367.3,1,0.693147181,1,1
g2-32-70,Bisecting K-Means (largest split),0.113978,320561367.3,1,0.693147181,1,1
g2-32-70,Bisecting K-Means (worst split),0.121998,320561367.3,1,0.693147181,1,1
g2-32-80,K-Means,0.11801,417995063.4,1,0.693147181,1,1
g2-32-80,Bisecting K-Means (largest split),0.115003,417995063.4,1,0.693147181,1,1
g2-32-80,Bisecting K-Means (worst split),0.126032,417995063.4,1,0.693147181,1,1
g2-32-90,K-Means,0.113995,527759467.5,1,0.693146704,1,1
g2-32-90,Bisecting K-Means (largest split),0.124003,527759467.5,1,0.693146704,1,1
g2-32-90,Bisecting K-Means (worst split),0.131494,527759467.5,1,0.693146704,1,1
g2-32-100,K-Means,0.121009,653907023.9,0.998046875,0.689268434,0.994412703,0.999022972
g2-32-100,Bisecting K-Means (largest split),0.146994,653907023.9,0.998046875,0.689268434,0.994412703,0.999022972
g2-32-100,Bisecting K-Means (worst split),0.126999,653907023.9,0.998046875,0.689268434,0.994412703,0.999022972
g2-64-10,K-Means,0.162014,13043480.78,1,0.693147181,1,1
g2-64-10,Bisecting K-Means (largest split),0.166016,13043480.78,1,0.693147181,1,1
g2-64-10,Bisecting K-Means (worst split),0.188023,13043480.78,1,0.693147181,1,1
g2-64-20,K-Means,0.160019,52560495.76,1,0.693147181,1,1
g2-64-20,Bisecting K-Means (largest split),0.177999,52560495.76,1,0.693147181,1,1
g2-64-20,Bisecting K-Means (worst split),0.183,52560495.76,1,0.693147181,1,1
g2-64-30,K-Means,0.171787,117876262.7,1,0.693147181,1,1
g2-64-30,Bisecting K-Means (largest split),0.175001,117876262.7,1,0.693147181,1,1
g2-64-30,Bisecting K-Means (worst split),0.193998,117876262.7,1,0.693147181,1,1
g2-64-40,K-Means,0.157022,209942027.8,1,0.693147181,1,1
g2-64-40,Bisecting K-Means (largest split),0.176005,209942027.8,1,0.693147181,1,1
